"target_end_date","location","target","observation"
2020-04-11,"nyc","ILI ED visits pct",7.7
2020-04-18,"nyc","ILI ED visits pct",5.1
2020-04-25,"nyc","ILI ED visits pct",2.9
2020-05-02,"nyc","ILI ED visits pct",1.8
2020-05-09,"nyc","ILI ED visits pct",1.2
2020-05-16,"nyc","ILI ED visits pct",1
2020-05-23,"nyc","ILI ED visits pct",0.8
2020-05-30,"nyc","ILI ED visits pct",0.7
2020-06-06,"nyc","ILI ED visits pct",0.6
2020-06-13,"nyc","ILI ED visits pct",0.6
2020-06-20,"nyc","ILI ED visits pct",0.5
2020-06-27,"nyc","ILI ED visits pct",0.6
2020-07-04,"nyc","ILI ED visits pct",0.5
2020-07-11,"nyc","ILI ED visits pct",0.6
2020-07-18,"nyc","ILI ED visits pct",0.7
2020-07-25,"nyc","ILI ED visits pct",0.7
2020-08-01,"nyc","ILI ED visits pct",0.7
2020-08-08,"nyc","ILI ED visits pct",0.8
2020-08-15,"nyc","ILI ED visits pct",0.8
2020-08-22,"nyc","ILI ED visits pct",0.9
2020-08-29,"nyc","ILI ED visits pct",0.8
2020-09-05,"nyc","ILI ED visits pct",0.7
2020-09-12,"nyc","ILI ED visits pct",0.8
2020-09-19,"nyc","ILI ED visits pct",0.7
2020-09-26,"nyc","ILI ED visits pct",0.8
2020-10-03,"nyc","ILI ED visits pct",0.9
2020-10-10,"nyc","ILI ED visits pct",0.9
2020-10-17,"nyc","ILI ED visits pct",0.8
2020-10-24,"nyc","ILI ED visits pct",0.9
2020-10-31,"nyc","ILI ED visits pct",0.9
2020-11-07,"nyc","ILI ED visits pct",0.9
2020-11-14,"nyc","ILI ED visits pct",1
2020-11-21,"nyc","ILI ED visits pct",1
2020-11-28,"nyc","ILI ED visits pct",1
2020-12-05,"nyc","ILI ED visits pct",1
2020-12-12,"nyc","ILI ED visits pct",1.1
2020-12-19,"nyc","ILI ED visits pct",1.1
2020-12-26,"nyc","ILI ED visits pct",1.2
2021-01-02,"nyc","ILI ED visits pct",1.1
2021-01-09,"nyc","ILI ED visits pct",1.3
2021-01-16,"nyc","ILI ED visits pct",1.3
2021-01-23,"nyc","ILI ED visits pct",1.3
2021-01-30,"nyc","ILI ED visits pct",1.3
2021-02-06,"nyc","ILI ED visits pct",1.2
2021-02-13,"nyc","ILI ED visits pct",1.1
2021-02-20,"nyc","ILI ED visits pct",1.2
2021-02-27,"nyc","ILI ED visits pct",1
2021-03-06,"nyc","ILI ED visits pct",1.1
2021-03-13,"nyc","ILI ED visits pct",1
2021-03-20,"nyc","ILI ED visits pct",1.2
2021-03-27,"nyc","ILI ED visits pct",1.3
2021-04-03,"nyc","ILI ED visits pct",1.2
2021-04-10,"nyc","ILI ED visits pct",1.2
2021-04-17,"nyc","ILI ED visits pct",1.2
2021-04-24,"nyc","ILI ED visits pct",1.1
2021-05-01,"nyc","ILI ED visits pct",1.1
2021-05-08,"nyc","ILI ED visits pct",1
2021-05-15,"nyc","ILI ED visits pct",1
2021-05-22,"nyc","ILI ED visits pct",1
2021-05-29,"nyc","ILI ED visits pct",1.2
2021-06-05,"nyc","ILI ED visits pct",1
2021-06-12,"nyc","ILI ED visits pct",1.1
2021-06-19,"nyc","ILI ED visits pct",1.2
2021-06-26,"nyc","ILI ED visits pct",1.3
2021-07-03,"nyc","ILI ED visits pct",1.3
2021-07-10,"nyc","ILI ED visits pct",1.3
2021-07-17,"nyc","ILI ED visits pct",1.4
2021-07-24,"nyc","ILI ED visits pct",1.5
2021-07-31,"nyc","ILI ED visits pct",1.7
2021-08-07,"nyc","ILI ED visits pct",1.8
2021-08-14,"nyc","ILI ED visits pct",1.8
2021-08-21,"nyc","ILI ED visits pct",1.8
2021-08-28,"nyc","ILI ED visits pct",1.8
2021-09-04,"nyc","ILI ED visits pct",1.8
2021-09-11,"nyc","ILI ED visits pct",1.6
2021-09-18,"nyc","ILI ED visits pct",1.7
2021-09-25,"nyc","ILI ED visits pct",1.8
2021-10-02,"nyc","ILI ED visits pct",2.3
2021-10-09,"nyc","ILI ED visits pct",2.6
2021-10-16,"nyc","ILI ED visits pct",2.4
2021-10-23,"nyc","ILI ED visits pct",2.3
2021-10-30,"nyc","ILI ED visits pct",2.3
2021-11-06,"nyc","ILI ED visits pct",2.2
2021-11-13,"nyc","ILI ED visits pct",2.2
2021-11-20,"nyc","ILI ED visits pct",2.4
2021-11-27,"nyc","ILI ED visits pct",2.3
2021-12-04,"nyc","ILI ED visits pct",2.4
2021-12-11,"nyc","ILI ED visits pct",2.6
2021-12-18,"nyc","ILI ED visits pct",2.7
2021-12-25,"nyc","ILI ED visits pct",3.2
2022-01-01,"nyc","ILI ED visits pct",5.1
2022-01-08,"nyc","ILI ED visits pct",6.3
2022-01-08,"nyc","ILI ED visits pct",5.5
2022-01-15,"nyc","ILI ED visits pct",3.9
2022-01-22,"nyc","ILI ED visits pct",2.3
2022-01-29,"nyc","ILI ED visits pct",1.5
2022-02-05,"nyc","ILI ED visits pct",1.3
2022-02-12,"nyc","ILI ED visits pct",1
2022-02-19,"nyc","ILI ED visits pct",1
2022-02-26,"nyc","ILI ED visits pct",1.1
2022-03-05,"nyc","ILI ED visits pct",1.1
2022-03-12,"nyc","ILI ED visits pct",1.3
2022-03-19,"nyc","ILI ED visits pct",1.4
2022-03-26,"nyc","ILI ED visits pct",1.5
2022-04-02,"nyc","ILI ED visits pct",1.8
2022-04-09,"nyc","ILI ED visits pct",2
2022-04-16,"nyc","ILI ED visits pct",2.5
2022-04-23,"nyc","ILI ED visits pct",2.5
2022-04-30,"nyc","ILI ED visits pct",2.5
2022-05-07,"nyc","ILI ED visits pct",2.4
2022-05-14,"nyc","ILI ED visits pct",2.7
2022-05-21,"nyc","ILI ED visits pct",2.9
2022-05-28,"nyc","ILI ED visits pct",3
2022-06-04,"nyc","ILI ED visits pct",3
2022-06-11,"nyc","ILI ED visits pct",2.8
2022-06-18,"nyc","ILI ED visits pct",2.7
2022-06-25,"nyc","ILI ED visits pct",2.6
2022-07-02,"nyc","ILI ED visits pct",2.6
2022-07-09,"nyc","ILI ED visits pct",2.6
2022-07-16,"nyc","ILI ED visits pct",2.5
2022-07-23,"nyc","ILI ED visits pct",2.2
2022-07-30,"nyc","ILI ED visits pct",2
2022-08-06,"nyc","ILI ED visits pct",2.1
2022-08-13,"nyc","ILI ED visits pct",2
2022-08-20,"nyc","ILI ED visits pct",1.8
2022-08-27,"nyc","ILI ED visits pct",1.9
2022-09-03,"nyc","ILI ED visits pct",1.7
2022-09-10,"nyc","ILI ED visits pct",1.6
2022-09-17,"nyc","ILI ED visits pct",1.6
2022-09-24,"nyc","ILI ED visits pct",2.2
2022-10-01,"nyc","ILI ED visits pct",2.9
2022-10-08,"nyc","ILI ED visits pct",3
2022-10-15,"nyc","ILI ED visits pct",2.8
2022-10-22,"nyc","ILI ED visits pct",3.4
2022-10-29,"nyc","ILI ED visits pct",3.8
2022-11-05,"nyc","ILI ED visits pct",4.8
2022-11-12,"nyc","ILI ED visits pct",6
2022-11-19,"nyc","ILI ED visits pct",6.6
2022-11-26,"nyc","ILI ED visits pct",6.6
2022-12-03,"nyc","ILI ED visits pct",9
2022-12-10,"nyc","ILI ED visits pct",9.3
2022-12-17,"nyc","ILI ED visits pct",9.1
2022-12-24,"nyc","ILI ED visits pct",7.9
2022-12-31,"nyc","ILI ED visits pct",6.9
2023-01-07,"nyc","ILI ED visits pct",6.2
2023-01-07,"nyc","ILI ED visits pct",4.4
2023-01-14,"nyc","ILI ED visits pct",3.4
2023-01-21,"nyc","ILI ED visits pct",3.1
2023-01-28,"nyc","ILI ED visits pct",2.9
2023-02-04,"nyc","ILI ED visits pct",2.9
2023-02-11,"nyc","ILI ED visits pct",3
2023-02-18,"nyc","ILI ED visits pct",2.9
2023-02-25,"nyc","ILI ED visits pct",2.9
2023-03-04,"nyc","ILI ED visits pct",2.8
2023-03-11,"nyc","ILI ED visits pct",2.7
2023-03-18,"nyc","ILI ED visits pct",2.9
2023-03-25,"nyc","ILI ED visits pct",3.2
2023-04-01,"nyc","ILI ED visits pct",3.2
2023-04-08,"nyc","ILI ED visits pct",3.1
2023-04-15,"nyc","ILI ED visits pct",2.8
2023-04-22,"nyc","ILI ED visits pct",2.2
2023-04-29,"nyc","ILI ED visits pct",2.2
2023-05-06,"nyc","ILI ED visits pct",2.5
2023-05-13,"nyc","ILI ED visits pct",2.7
2023-05-20,"nyc","ILI ED visits pct",2.7
2023-05-27,"nyc","ILI ED visits pct",2.6
2023-06-03,"nyc","ILI ED visits pct",2.7
2023-06-10,"nyc","ILI ED visits pct",2.3
2023-06-17,"nyc","ILI ED visits pct",2.3
2023-06-24,"nyc","ILI ED visits pct",2
2023-07-01,"nyc","ILI ED visits pct",1.8
2023-07-08,"nyc","ILI ED visits pct",1.8
2023-07-15,"nyc","ILI ED visits pct",1.6
2023-07-22,"nyc","ILI ED visits pct",1.7
2023-07-29,"nyc","ILI ED visits pct",1.6
2023-08-05,"nyc","ILI ED visits pct",1.7
2023-08-12,"nyc","ILI ED visits pct",1.6
2023-08-19,"nyc","ILI ED visits pct",1.6
2023-08-26,"nyc","ILI ED visits pct",1.6
2023-09-02,"nyc","ILI ED visits pct",1.7
2023-09-09,"nyc","ILI ED visits pct",1.8
2023-09-16,"nyc","ILI ED visits pct",1.8
2023-09-23,"nyc","ILI ED visits pct",2.4
2023-09-30,"nyc","ILI ED visits pct",2.4
2023-10-07,"nyc","ILI ED visits pct",2.5
2023-10-14,"nyc","ILI ED visits pct",2.6
2023-10-21,"nyc","ILI ED visits pct",3
2023-10-28,"nyc","ILI ED visits pct",3.1
2023-11-04,"nyc","ILI ED visits pct",3.4
2023-11-11,"nyc","ILI ED visits pct",3.8
2023-11-18,"nyc","ILI ED visits pct",4.1
2023-11-25,"nyc","ILI ED visits pct",4.1
2023-12-02,"nyc","ILI ED visits pct",4.5
2023-12-09,"nyc","ILI ED visits pct",5
2023-12-16,"nyc","ILI ED visits pct",6
2023-12-23,"nyc","ILI ED visits pct",6.6
2023-12-30,"nyc","ILI ED visits pct",7.7
2024-01-06,"nyc","ILI ED visits pct",6.6
2024-01-06,"nyc","ILI ED visits pct",6.1
2024-01-13,"nyc","ILI ED visits pct",5.8
2024-01-20,"nyc","ILI ED visits pct",5.1
2024-01-27,"nyc","ILI ED visits pct",4.9
2024-02-03,"nyc","ILI ED visits pct",4.9
2024-02-10,"nyc","ILI ED visits pct",4.7
2024-02-17,"nyc","ILI ED visits pct",4.6
2024-02-24,"nyc","ILI ED visits pct",4.3
2024-03-02,"nyc","ILI ED visits pct",3.8
2024-03-09,"nyc","ILI ED visits pct",3.5
2024-03-16,"nyc","ILI ED visits pct",3.3
2024-03-23,"nyc","ILI ED visits pct",3.3
2024-03-30,"nyc","ILI ED visits pct",3.4
2024-04-06,"nyc","ILI ED visits pct",3.3
2024-04-13,"nyc","ILI ED visits pct",2.9
2024-04-20,"nyc","ILI ED visits pct",2.7
2024-04-27,"nyc","ILI ED visits pct",2.5
2024-05-04,"nyc","ILI ED visits pct",2.1
2024-05-11,"nyc","ILI ED visits pct",2.1
2024-05-18,"nyc","ILI ED visits pct",2.3
2024-05-25,"nyc","ILI ED visits pct",2.3
2024-06-01,"nyc","ILI ED visits pct",2.2
2024-06-08,"nyc","ILI ED visits pct",2.2
2024-06-15,"nyc","ILI ED visits pct",2
2024-06-22,"nyc","ILI ED visits pct",2
2024-06-29,"nyc","ILI ED visits pct",1.9
2024-07-06,"nyc","ILI ED visits pct",1.8
2024-07-13,"nyc","ILI ED visits pct",1.7
2024-07-20,"nyc","ILI ED visits pct",1.7
2024-07-27,"nyc","ILI ED visits pct",1.8
2024-08-03,"nyc","ILI ED visits pct",1.7
2024-08-10,"nyc","ILI ED visits pct",1.6
2024-08-17,"nyc","ILI ED visits pct",1.6
2024-08-24,"nyc","ILI ED visits pct",1.8
2024-08-31,"nyc","ILI ED visits pct",1.7
2024-09-07,"nyc","ILI ED visits pct",1.7
2024-09-14,"nyc","ILI ED visits pct",1.9
2024-09-21,"nyc","ILI ED visits pct",2.5
2024-09-28,"nyc","ILI ED visits pct",2.5
2024-10-05,"nyc","ILI ED visits pct",2.5
2024-10-12,"nyc","ILI ED visits pct",2.5
2024-10-19,"nyc","ILI ED visits pct",2.7
2024-10-26,"nyc","ILI ED visits pct",2.8
2024-11-02,"nyc","ILI ED visits pct",2.7
2024-11-09,"nyc","ILI ED visits pct",3
2024-11-16,"nyc","ILI ED visits pct",3.2
2024-11-23,"nyc","ILI ED visits pct",3.4
2024-11-30,"nyc","ILI ED visits pct",3.9
2024-12-07,"nyc","ILI ED visits pct",4.1
2024-12-14,"nyc","ILI ED visits pct",4.5
2024-12-21,"nyc","ILI ED visits pct",5.2
2024-12-28,"nyc","ILI ED visits pct",6.9
2025-01-04,"nyc","ILI ED visits pct",7
2025-01-04,"nyc","ILI ED visits pct",6.9
2025-01-11,"nyc","ILI ED visits pct",6.8
2025-01-18,"nyc","ILI ED visits pct",7.8
2025-01-25,"nyc","ILI ED visits pct",8.3
2025-02-01,"nyc","ILI ED visits pct",7.3
2025-02-08,"nyc","ILI ED visits pct",6.7
2025-02-15,"nyc","ILI ED visits pct",5.7
2025-02-22,"nyc","ILI ED visits pct",4.8
2025-03-01,"nyc","ILI ED visits pct",3.9
2025-03-08,"nyc","ILI ED visits pct",3.6
2025-03-15,"nyc","ILI ED visits pct",3.6
2025-03-22,"nyc","ILI ED visits pct",3.5
2025-03-29,"nyc","ILI ED visits pct",3.2
2025-04-05,"nyc","ILI ED visits pct",3
2025-04-12,"nyc","ILI ED visits pct",2.8
2025-04-19,"nyc","ILI ED visits pct",2.6
2025-04-26,"nyc","ILI ED visits pct",2.3
2025-05-03,"nyc","ILI ED visits pct",2.1
2025-05-10,"nyc","ILI ED visits pct",1.9
2025-05-17,"nyc","ILI ED visits pct",2.2
2025-05-24,"nyc","ILI ED visits pct",2.3
2025-05-31,"nyc","ILI ED visits pct",2.1
2025-06-07,"nyc","ILI ED visits pct",1.91
2025-06-14,"nyc","ILI ED visits pct",2.01
2025-06-21,"nyc","ILI ED visits pct",1.91
2025-06-28,"nyc","ILI ED visits pct",1.78
2025-07-05,"nyc","ILI ED visits pct",1.68
2025-07-12,"nyc","ILI ED visits pct",1.56
2025-07-19,"nyc","ILI ED visits pct",1.45
2025-07-26,"nyc","ILI ED visits pct",1.54
2025-08-02,"nyc","ILI ED visits pct",1.38
2025-08-09,"nyc","ILI ED visits pct",1.57
2025-08-16,"nyc","ILI ED visits pct",1.54
2025-08-23,"nyc","ILI ED visits pct",1.46
2025-08-30,"nyc","ILI ED visits pct",1.33
2025-09-06,"nyc","ILI ED visits pct",1.35
2025-09-13,"nyc","ILI ED visits pct",1.57
2025-09-20,"nyc","ILI ED visits pct",2
2025-09-27,"nyc","ILI ED visits pct",2.02
2025-10-04,"nyc","ILI ED visits pct",1.93
2025-10-11,"nyc","ILI ED visits pct",1.74
2025-10-18,"nyc","ILI ED visits pct",1.86
2025-10-25,"nyc","ILI ED visits pct",1.97
2025-11-01,"nyc","ILI ED visits pct",2.11
2025-11-08,"nyc","ILI ED visits pct",2.44
2025-11-15,"nyc","ILI ED visits pct",2.75
2022-10-01,"colorado-springs","Flu ED visits pct",0.08
2022-10-01,"denver","Flu ED visits pct",0.11
2022-10-01,"mesa","Flu ED visits pct",0
2022-10-01,"floyd","Flu ED visits pct",0.31
2022-10-01,"hall","Flu ED visits pct",1.31
2022-10-01,"la-grange","Flu ED visits pct",0.89
2022-10-01,"henry","Flu ED visits pct",1.07
2022-10-01,"macon","Flu ED visits pct",2.15
2022-10-01,"cherokee","Flu ED visits pct",0.96
2022-10-01,"columbus","Flu ED visits pct",1.63
2022-10-01,"indianapolis","Flu ED visits pct",0.22
2022-10-01,"maine","Flu ED visits pct",0.03
2022-10-01,"bangor","Flu ED visits pct",0
2022-10-01,"harford","Flu ED visits pct",0.31
2022-10-01,"montgomery","Flu ED visits pct",0.18
2022-10-01,"worcester","Flu ED visits pct",0.11
2022-10-01,"springfield","Flu ED visits pct",0.05
2022-10-01,"st-cloud","Flu ED visits pct",0
