"as_of","location","target","target_end_date","observation"
2025-11-19,"horry","Flu ED visits pct",2025-08-02,0.11
2025-11-19,"greenville","Flu ED visits pct",2025-08-02,0.02
2025-11-19,"houston","Flu ED visits pct",2025-08-02,0.18
2025-11-19,"austin","Flu ED visits pct",2025-08-02,0.23
2025-11-19,"san-antonio","Flu ED visits pct",2025-08-02,0.08
2025-11-19,"dallas","Flu ED visits pct",2025-08-02,0.08
2025-11-19,"utah","Flu ED visits pct",2025-08-02,0.05
2025-11-19,"provo","Flu ED visits pct",2025-08-02,0.05
2025-11-19,"roanoke","Flu ED visits pct",2025-08-02,0.09
2025-11-19,"colorado","Flu ED visits pct",2025-08-09,0.04
2025-11-19,"boulder","Flu ED visits pct",2025-08-09,0
2025-11-19,"mesa","Flu ED visits pct",2025-08-09,0.06
2025-11-19,"weld","Flu ED visits pct",2025-08-09,0
2025-11-19,"denver","Flu ED visits pct",2025-08-09,0.06
2025-11-19,"floyd","Flu ED visits pct",2025-08-09,0.05
2025-11-19,"south-augusta","Flu ED visits pct",2025-08-09,0.02
2025-11-19,"columbus","Flu ED visits pct",2025-08-09,0.13
2025-11-19,"cherokee","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"hall","Flu ED visits pct",2025-08-09,0.09
2025-11-19,"la-grange","Flu ED visits pct",2025-08-09,0
2025-11-19,"savannah","Flu ED visits pct",2025-08-09,0
2025-11-19,"athens","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"macon","Flu ED visits pct",2025-08-09,0.19
2025-11-19,"bangor","Flu ED visits pct",2025-08-09,0.07
2025-11-19,"baltimore","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"montgomery","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"pittsfield","Flu ED visits pct",2025-08-09,0.06
2025-11-19,"boston","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"worcester","Flu ED visits pct",2025-08-09,0.04
2025-11-19,"rochester","Flu ED visits pct",2025-08-09,0.09
2025-11-19,"minneapolis","Flu ED visits pct",2025-08-09,0.04
2025-11-19,"st-cloud","Flu ED visits pct",2025-08-09,0.05
2025-11-19,"duluth","Flu ED visits pct",2025-08-09,0.03
2025-11-19,"charleston","Flu ED visits pct",2025-08-09,0.06
2025-11-19,"florence","Flu ED visits pct",2025-08-09,0.06
2025-11-19,"greenville","Flu ED visits pct",2025-08-09,0.05
2025-11-19,"san-antonio","Flu ED visits pct",2025-08-09,0.05
2025-11-19,"austin","Flu ED visits pct",2025-08-09,0.21
2025-11-19,"el-paso","Flu ED visits pct",2025-08-09,0.08
2025-11-19,"houston","Flu ED visits pct",2025-08-09,0.18
2025-11-19,"beaumont","Flu ED visits pct",2025-08-09,0.09
2025-11-19,"dallas","Flu ED visits pct",2025-08-09,0.13
2025-11-19,"ogden","Flu ED visits pct",2025-08-09,0.13
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-08-09,0.08
2025-11-19,"provo","Flu ED visits pct",2025-08-09,0.14
2025-11-19,"roanoke","Flu ED visits pct",2025-08-09,0.13
2025-11-19,"denver","Flu ED visits pct",2025-08-16,0.06
2025-11-19,"boulder","Flu ED visits pct",2025-08-16,0.08
2025-11-19,"colorado-springs","Flu ED visits pct",2025-08-16,0.01
2025-11-19,"larimer","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"weld","Flu ED visits pct",2025-08-16,0
2025-11-19,"floyd","Flu ED visits pct",2025-08-16,0.07
2025-11-19,"south-augusta","Flu ED visits pct",2025-08-16,0.02
2025-11-19,"athens","Flu ED visits pct",2025-08-16,0.09
2025-11-19,"hall","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"columbus","Flu ED visits pct",2025-08-16,0.08
2025-11-19,"la-grange","Flu ED visits pct",2025-08-16,0
2025-11-19,"savannah","Flu ED visits pct",2025-08-16,0.04
2025-11-19,"macon","Flu ED visits pct",2025-08-16,0.12
2025-11-19,"henry","Flu ED visits pct",2025-08-16,0.04
2025-11-19,"indianapolis","Flu ED visits pct",2025-08-16,0.06
2025-11-19,"bangor","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"baltimore","Flu ED visits pct",2025-08-16,0.04
2025-11-19,"harford","Flu ED visits pct",2025-08-16,0.05
2025-11-19,"montgomery","Flu ED visits pct",2025-08-16,0.08
2025-11-19,"boston","Flu ED visits pct",2025-08-16,0.04
2025-11-19,"springfield","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"duluth","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"st-paul","Flu ED visits pct",2025-08-16,0.11
2025-11-19,"rochester","Flu ED visits pct",2025-08-16,0.15
2025-11-19,"minneapolis","Flu ED visits pct",2025-08-16,0.04
2025-11-19,"st-cloud","Flu ED visits pct",2025-08-16,0.05
2025-11-19,"greenville","Flu ED visits pct",2025-08-16,0
2025-11-19,"charleston","Flu ED visits pct",2025-08-16,0.08
2025-11-19,"florence","Flu ED visits pct",2025-08-16,0.12
2025-11-19,"houston","Flu ED visits pct",2025-08-16,0.21
2025-11-19,"austin","Flu ED visits pct",2025-08-16,0.2
2025-11-19,"dallas","Flu ED visits pct",2025-08-16,0.12
2025-11-19,"san-antonio","Flu ED visits pct",2025-08-16,0.13
2025-11-19,"beaumont","Flu ED visits pct",2025-08-16,0.1
2025-11-19,"el-paso","Flu ED visits pct",2025-08-16,0.16
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-08-16,0.03
2025-11-19,"roanoke","Flu ED visits pct",2025-08-16,0.05
2025-11-19,"denver","Flu ED visits pct",2025-08-23,0.06
2025-11-19,"larimer","Flu ED visits pct",2025-08-23,0.05
2025-11-19,"georgia","Flu ED visits pct",2025-08-23,0.13
2025-11-19,"la-grange","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"savannah","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"floyd","Flu ED visits pct",2025-08-23,0.14
2025-11-19,"athens","Flu ED visits pct",2025-08-23,0.02
2025-11-19,"hall","Flu ED visits pct",2025-08-23,0.16
2025-11-19,"columbus","Flu ED visits pct",2025-08-23,0.07
2025-11-19,"south-augusta","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"indiana","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"indianapolis","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"maine","Flu ED visits pct",2025-08-23,0.02
2025-11-19,"portland","Flu ED visits pct",2025-08-23,0
2025-11-19,"maryland","Flu ED visits pct",2025-08-23,0.07
2025-11-19,"baltimore","Flu ED visits pct",2025-08-23,0.04
2025-11-19,"boston","Flu ED visits pct",2025-08-23,0.03
2025-11-19,"springfield","Flu ED visits pct",2025-08-23,0.03
2025-11-19,"minneapolis","Flu ED visits pct",2025-08-23,0.07
2025-11-19,"st-cloud","Flu ED visits pct",2025-08-23,0
2025-11-19,"duluth","Flu ED visits pct",2025-08-23,0
2025-11-19,"rochester","Flu ED visits pct",2025-08-23,0.09
2025-11-19,"charleston","Flu ED visits pct",2025-08-23,0.12
2025-11-19,"columbia","Flu ED visits pct",2025-08-23,0.15
2025-11-19,"greenville","Flu ED visits pct",2025-08-23,0
2025-11-19,"rock-hill","Flu ED visits pct",2025-08-23,0.2
2025-11-19,"austin","Flu ED visits pct",2025-08-23,0.19
2025-11-19,"houston","Flu ED visits pct",2025-08-23,0.24
2025-11-19,"dallas","Flu ED visits pct",2025-08-23,0.15
2025-11-19,"el-paso","Flu ED visits pct",2025-08-23,0.12
2025-11-19,"san-antonio","Flu ED visits pct",2025-08-23,0.12
2025-11-19,"beaumont","Flu ED visits pct",2025-08-23,0.09
2025-11-19,"utah","Flu ED visits pct",2025-08-23,0.06
2025-11-19,"provo","Flu ED visits pct",2025-08-23,0.05
2025-11-19,"ogden","Flu ED visits pct",2025-08-23,0.05
2025-11-19,"virginia","Flu ED visits pct",2025-08-23,0.08
2025-11-19,"roanoke","Flu ED visits pct",2025-08-23,0.09
2025-11-19,"denver","Flu ED visits pct",2025-08-30,0.08
2025-11-19,"mesa","Flu ED visits pct",2025-08-30,0
2025-11-19,"savannah","Flu ED visits pct",2025-08-30,0.04
2025-11-19,"floyd","Flu ED visits pct",2025-08-30,0.02
2025-11-19,"hall","Flu ED visits pct",2025-08-30,0
2025-11-19,"henry","Flu ED visits pct",2025-08-30,0
2025-11-19,"macon","Flu ED visits pct",2025-08-30,0.75
2025-11-19,"athens","Flu ED visits pct",2025-08-30,0.1
2025-11-19,"cherokee","Flu ED visits pct",2025-08-30,0.06
2025-11-19,"south-augusta","Flu ED visits pct",2025-08-30,0.06
2025-11-19,"la-grange","Flu ED visits pct",2025-08-30,0.12
2025-11-19,"indianapolis","Flu ED visits pct",2025-08-30,0.06
2025-11-19,"maine","Flu ED visits pct",2025-08-30,0.03
2025-11-19,"bangor","Flu ED visits pct",2025-08-30,0.03
2025-11-19,"portland","Flu ED visits pct",2025-08-30,0
2025-11-19,"baltimore","Flu ED visits pct",2025-08-30,0.09
2025-11-19,"harford","Flu ED visits pct",2025-08-30,0.13
2025-11-19,"montgomery","Flu ED visits pct",2025-08-30,0.07
2025-11-19,"boston","Flu ED visits pct",2025-08-30,0.04
2025-11-19,"lynn","Flu ED visits pct",2025-08-30,0.03
2025-11-19,"minneapolis","Flu ED visits pct",2025-08-30,0.05
2025-11-19,"rochester","Flu ED visits pct",2025-08-30,0
2025-11-19,"charleston","Flu ED visits pct",2025-08-30,0.16
2025-11-19,"florence","Flu ED visits pct",2025-08-30,0.24
2025-11-19,"horry","Flu ED visits pct",2025-08-30,0.23
2025-11-19,"columbia","Flu ED visits pct",2025-08-30,0.1
2025-11-19,"greenville","Flu ED visits pct",2025-08-30,0.02
2025-11-19,"texas","Flu ED visits pct",2025-08-30,0.24
2025-11-19,"houston","Flu ED visits pct",2025-08-30,0.27
2025-11-19,"san-antonio","Flu ED visits pct",2025-08-30,0.09
2025-11-19,"austin","Flu ED visits pct",2025-08-30,0.25
2025-11-19,"el-paso","Flu ED visits pct",2025-08-30,0.11
2025-11-19,"beaumont","Flu ED visits pct",2025-08-30,0.19
2025-11-19,"dallas","Flu ED visits pct",2025-08-30,0.15
2025-11-19,"ogden","Flu ED visits pct",2025-08-30,0.07
2025-11-19,"provo","Flu ED visits pct",2025-08-30,0.08
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-08-30,0.07
2025-11-19,"roanoke","Flu ED visits pct",2025-08-30,0.1
2025-11-19,"boulder","Flu ED visits pct",2025-09-06,0.08
2025-11-19,"denver","Flu ED visits pct",2025-09-06,0.07
2025-11-19,"larimer","Flu ED visits pct",2025-09-06,0.08
2025-11-19,"mesa","Flu ED visits pct",2025-09-06,0
2025-11-19,"hall","Flu ED visits pct",2025-09-06,0.03
2025-11-19,"south-augusta","Flu ED visits pct",2025-09-06,0.04
2025-11-19,"cherokee","Flu ED visits pct",2025-09-06,0.24
2025-11-19,"henry","Flu ED visits pct",2025-09-06,0.09
2025-11-19,"columbus","Flu ED visits pct",2025-09-06,0
2025-11-19,"la-grange","Flu ED visits pct",2025-09-06,0
2025-11-19,"macon","Flu ED visits pct",2025-09-06,0.29
2025-11-19,"athens","Flu ED visits pct",2025-09-06,0.07
2025-11-19,"floyd","Flu ED visits pct",2025-09-06,0.07
2025-11-19,"indianapolis","Flu ED visits pct",2025-09-06,0.08
2025-11-19,"portland","Flu ED visits pct",2025-09-06,0.07
2025-11-19,"baltimore","Flu ED visits pct",2025-09-06,0.08
2025-11-19,"harford","Flu ED visits pct",2025-09-06,0.09
2025-11-19,"montgomery","Flu ED visits pct",2025-09-06,0.05
2025-11-19,"boston","Flu ED visits pct",2025-09-06,0.05
2025-11-19,"lynn","Flu ED visits pct",2025-09-06,0.06
2025-11-19,"minnesota","Flu ED visits pct",2025-09-06,0.11
2025-11-19,"minneapolis","Flu ED visits pct",2025-09-06,0.14
2025-11-19,"st-paul","Flu ED visits pct",2025-09-06,0.2
2025-11-19,"rochester","Flu ED visits pct",2025-09-06,0.06
2025-11-19,"st-cloud","Flu ED visits pct",2025-09-06,0
2025-11-19,"florence","Flu ED visits pct",2025-09-06,0.24
2025-11-19,"charleston","Flu ED visits pct",2025-09-06,0.13
2025-11-19,"columbia","Flu ED visits pct",2025-09-06,0.07
2025-11-19,"greenville","Flu ED visits pct",2025-09-06,0.05
2025-11-19,"texas","Flu ED visits pct",2025-09-06,0.26
2025-11-19,"houston","Flu ED visits pct",2025-09-06,0.37
2025-11-19,"el-paso","Flu ED visits pct",2025-09-06,0.1
2025-11-19,"san-antonio","Flu ED visits pct",2025-09-06,0.11
2025-11-19,"dallas","Flu ED visits pct",2025-09-06,0.14
2025-11-19,"beaumont","Flu ED visits pct",2025-09-06,0.14
2025-11-19,"austin","Flu ED visits pct",2025-09-06,0.21
2025-11-19,"utah","Flu ED visits pct",2025-09-06,0.08
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-09-06,0.05
2025-11-19,"ogden","Flu ED visits pct",2025-09-06,0.15
2025-11-19,"provo","Flu ED visits pct",2025-09-06,0.03
2025-11-19,"roanoke","Flu ED visits pct",2025-09-06,0.1
2025-11-19,"denver","Flu ED visits pct",2025-09-13,0.08
2025-11-19,"boulder","Flu ED visits pct",2025-09-13,0.08
2025-11-19,"colorado-springs","Flu ED visits pct",2025-09-13,0.11
2025-11-19,"georgia","Flu ED visits pct",2025-09-13,0.08
2025-11-19,"macon","Flu ED visits pct",2025-09-13,0.06
2025-11-19,"cherokee","Flu ED visits pct",2025-09-13,0.15
2025-11-19,"savannah","Flu ED visits pct",2025-09-13,0
2025-11-19,"columbus","Flu ED visits pct",2025-09-13,0
2025-11-19,"south-augusta","Flu ED visits pct",2025-09-13,0.02
2025-11-19,"hall","Flu ED visits pct",2025-09-13,0
2025-11-19,"la-grange","Flu ED visits pct",2025-09-13,0
2025-11-19,"athens","Flu ED visits pct",2025-09-13,0.12
2025-11-19,"henry","Flu ED visits pct",2025-09-13,0.05
2025-11-19,"portland","Flu ED visits pct",2025-09-13,0
2025-11-19,"baltimore","Flu ED visits pct",2025-09-13,0.16
2025-11-19,"harford","Flu ED visits pct",2025-09-13,0.04
2025-11-19,"montgomery","Flu ED visits pct",2025-09-13,0.1
2025-11-19,"boston","Flu ED visits pct",2025-09-13,0.07
2025-11-19,"pittsfield","Flu ED visits pct",2025-09-13,0
2025-11-19,"new-bedford","Flu ED visits pct",2025-09-13,0.14
2025-11-19,"st-cloud","Flu ED visits pct",2025-09-13,0.16
2025-11-19,"rochester","Flu ED visits pct",2025-09-13,0.15
2025-11-19,"charleston","Flu ED visits pct",2025-09-13,0.11
2025-11-19,"rock-hill","Flu ED visits pct",2025-09-13,0.11
2025-11-19,"columbia","Flu ED visits pct",2025-09-13,0.11
2025-11-19,"texas","Flu ED visits pct",2025-09-13,0.25
2025-11-19,"houston","Flu ED visits pct",2025-09-13,0.34
2025-11-19,"san-antonio","Flu ED visits pct",2025-09-13,0.07
2025-11-19,"beaumont","Flu ED visits pct",2025-09-13,0.05
2025-11-19,"ogden","Flu ED visits pct",2025-09-13,0.1
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-09-13,0.15
2025-11-19,"provo","Flu ED visits pct",2025-09-13,0
2025-11-19,"virginia","Flu ED visits pct",2025-09-13,0.11
2025-11-19,"roanoke","Flu ED visits pct",2025-09-13,0.21
2025-11-19,"boulder","Flu ED visits pct",2025-09-20,0
2025-11-19,"mesa","Flu ED visits pct",2025-09-20,0
2025-11-19,"colorado-springs","Flu ED visits pct",2025-09-20,0.05
2025-11-19,"hall","Flu ED visits pct",2025-09-20,0.06
2025-11-19,"floyd","Flu ED visits pct",2025-09-20,0.12
2025-11-19,"savannah","Flu ED visits pct",2025-09-20,0.02
2025-11-19,"columbus","Flu ED visits pct",2025-09-20,0.08
2025-11-19,"athens","Flu ED visits pct",2025-09-20,0.1
2025-11-19,"marietta","Flu ED visits pct",2025-09-20,0.11
2025-11-19,"macon","Flu ED visits pct",2025-09-20,0.06
2025-11-19,"cherokee","Flu ED visits pct",2025-09-20,0.03
2025-11-19,"henry","Flu ED visits pct",2025-09-20,0.04
2025-11-19,"south-augusta","Flu ED visits pct",2025-09-20,0.02
2025-11-19,"portland","Flu ED visits pct",2025-09-20,0.05
2025-11-19,"baltimore","Flu ED visits pct",2025-09-20,0.09
2025-11-19,"springfield","Flu ED visits pct",2025-09-20,0.05
2025-11-19,"boston","Flu ED visits pct",2025-09-20,0.06
2025-11-19,"duluth","Flu ED visits pct",2025-09-20,0
2025-11-19,"st-cloud","Flu ED visits pct",2025-09-20,0.1
2025-11-19,"st-paul","Flu ED visits pct",2025-09-20,0.12
2025-11-19,"rochester","Flu ED visits pct",2025-09-20,0.11
2025-11-19,"florence","Flu ED visits pct",2025-09-20,0.15
2025-11-19,"columbia","Flu ED visits pct",2025-09-20,0.06
2025-11-19,"san-antonio","Flu ED visits pct",2025-09-20,0.12
2025-11-19,"austin","Flu ED visits pct",2025-09-20,0.27
2025-11-19,"dallas","Flu ED visits pct",2025-09-20,0.13
2025-11-19,"el-paso","Flu ED visits pct",2025-09-20,0.24
2025-11-19,"houston","Flu ED visits pct",2025-09-20,0.33
2025-11-19,"beaumont","Flu ED visits pct",2025-09-20,0.07
2025-11-19,"ogden","Flu ED visits pct",2025-09-20,0.05
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-09-20,0.08
2025-11-19,"roanoke","Flu ED visits pct",2025-09-20,0.12
2025-11-19,"boulder","Flu ED visits pct",2025-09-27,0.24
2025-11-19,"denver","Flu ED visits pct",2025-09-27,0.1
2025-11-19,"mesa","Flu ED visits pct",2025-09-27,0.06
2025-11-19,"colorado-springs","Flu ED visits pct",2025-09-27,0.08
2025-11-19,"weld","Flu ED visits pct",2025-09-27,0.04
2025-11-19,"macon","Flu ED visits pct",2025-09-27,0.08
2025-11-19,"south-augusta","Flu ED visits pct",2025-09-27,0.06
2025-11-19,"floyd","Flu ED visits pct",2025-09-27,0.07
2025-11-19,"athens","Flu ED visits pct",2025-09-27,0.05
2025-11-19,"henry","Flu ED visits pct",2025-09-27,0.05
2025-11-19,"hall","Flu ED visits pct",2025-09-27,0.11
2025-11-19,"la-grange","Flu ED visits pct",2025-09-27,0.19
2025-11-19,"cherokee","Flu ED visits pct",2025-09-27,0.1
2025-11-19,"indianapolis","Flu ED visits pct",2025-09-27,0.03
2025-11-19,"bangor","Flu ED visits pct",2025-09-27,0.11
2025-11-19,"portland","Flu ED visits pct",2025-09-27,0
2025-11-19,"baltimore","Flu ED visits pct",2025-09-27,0.09
2025-11-19,"montgomery","Flu ED visits pct",2025-09-27,0.06
2025-11-19,"boston","Flu ED visits pct",2025-09-27,0.09
2025-11-19,"st-cloud","Flu ED visits pct",2025-09-27,0.2
2025-11-19,"rochester","Flu ED visits pct",2025-09-27,0.09
2025-11-19,"duluth","Flu ED visits pct",2025-09-27,0
2025-11-19,"minneapolis","Flu ED visits pct",2025-09-27,0.1
2025-11-19,"st-paul","Flu ED visits pct",2025-09-27,0.22
2025-11-19,"charleston","Flu ED visits pct",2025-09-27,0.29
2025-11-19,"rock-hill","Flu ED visits pct",2025-09-27,0.1
2025-11-19,"florence","Flu ED visits pct",2025-09-27,0.41
2025-11-19,"houston","Flu ED visits pct",2025-09-27,0.41
2025-11-19,"beaumont","Flu ED visits pct",2025-09-27,0.09
2025-11-19,"san-antonio","Flu ED visits pct",2025-09-27,0.11
2025-11-19,"dallas","Flu ED visits pct",2025-09-27,0.19
2025-11-19,"utah","Flu ED visits pct",2025-09-27,0.16
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-09-27,0.17
2025-11-19,"provo","Flu ED visits pct",2025-09-27,0
2025-11-19,"ogden","Flu ED visits pct",2025-09-27,0.24
2025-11-19,"virginia","Flu ED visits pct",2025-09-27,0.08
2025-11-19,"roanoke","Flu ED visits pct",2025-09-27,0.04
2025-11-19,"colorado","Flu ED visits pct",2025-10-04,0.11
2025-11-19,"mesa","Flu ED visits pct",2025-10-04,0
2025-11-19,"colorado-springs","Flu ED visits pct",2025-10-04,0.02
2025-11-19,"denver","Flu ED visits pct",2025-10-04,0.17
2025-11-19,"weld","Flu ED visits pct",2025-10-04,0.07
2025-11-19,"macon","Flu ED visits pct",2025-10-04,0.04
2025-11-19,"marietta","Flu ED visits pct",2025-10-04,0.13
2025-11-19,"south-augusta","Flu ED visits pct",2025-10-04,0.07
2025-11-19,"la-grange","Flu ED visits pct",2025-10-04,0.08
2025-11-19,"hall","Flu ED visits pct",2025-10-04,0.14
2025-11-19,"henry","Flu ED visits pct",2025-10-04,0.06
2025-11-19,"floyd","Flu ED visits pct",2025-10-04,0.05
2025-11-19,"savannah","Flu ED visits pct",2025-10-04,0.04
2025-11-19,"athens","Flu ED visits pct",2025-10-04,0.05
2025-11-19,"cherokee","Flu ED visits pct",2025-10-04,0.09
2025-11-19,"columbus","Flu ED visits pct",2025-10-04,0.04
2025-11-19,"indianapolis","Flu ED visits pct",2025-10-04,0.04
2025-11-19,"maine","Flu ED visits pct",2025-10-04,0.14
2025-11-19,"portland","Flu ED visits pct",2025-10-04,0.07
2025-11-19,"montgomery","Flu ED visits pct",2025-10-04,0.08
2025-11-19,"harford","Flu ED visits pct",2025-10-04,0.09
2025-11-19,"boston","Flu ED visits pct",2025-10-04,0.05
2025-11-19,"st-paul","Flu ED visits pct",2025-10-04,0.17
2025-11-19,"duluth","Flu ED visits pct",2025-10-04,0
2025-11-19,"rochester","Flu ED visits pct",2025-10-04,0.03
2025-11-19,"minneapolis","Flu ED visits pct",2025-10-04,0.09
2025-11-19,"florence","Flu ED visits pct",2025-10-04,0.55
2025-11-19,"columbia","Flu ED visits pct",2025-10-04,0.08
2025-11-19,"san-antonio","Flu ED visits pct",2025-10-04,0.07
2025-11-19,"el-paso","Flu ED visits pct",2025-10-04,0.37
2025-11-19,"dallas","Flu ED visits pct",2025-10-04,0.14
2025-11-19,"houston","Flu ED visits pct",2025-10-04,0.47
2025-11-19,"beaumont","Flu ED visits pct",2025-10-04,0.09
2025-11-19,"austin","Flu ED visits pct",2025-10-04,0.26
2025-11-19,"ogden","Flu ED visits pct",2025-10-04,0.29
2025-11-19,"provo","Flu ED visits pct",2025-10-04,0.09
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-10-04,0.18
2025-11-19,"virginia","Flu ED visits pct",2025-10-04,0.1
2025-11-19,"roanoke","Flu ED visits pct",2025-10-04,0.12
2025-11-19,"denver","Flu ED visits pct",2025-10-11,0.16
2025-11-19,"colorado","Flu ED visits pct",2025-10-11,0.11
2025-11-19,"boulder","Flu ED visits pct",2025-10-11,0.08
2025-11-19,"colorado-springs","Flu ED visits pct",2025-10-11,0.02
2025-11-19,"mesa","Flu ED visits pct",2025-10-11,0
2025-11-19,"weld","Flu ED visits pct",2025-10-11,0.04
2025-11-19,"la-grange","Flu ED visits pct",2025-10-11,0.04
2025-11-19,"savannah","Flu ED visits pct",2025-10-11,0.09
2025-11-19,"henry","Flu ED visits pct",2025-10-11,0.02
2025-11-19,"floyd","Flu ED visits pct",2025-10-11,0.07
2025-11-19,"macon","Flu ED visits pct",2025-10-11,0.21
2025-11-19,"columbus","Flu ED visits pct",2025-10-11,0.04
2025-11-19,"athens","Flu ED visits pct",2025-10-11,0.02
2025-11-19,"indianapolis","Flu ED visits pct",2025-10-11,0.08
2025-11-19,"bangor","Flu ED visits pct",2025-10-11,0.14
2025-11-19,"maryland","Flu ED visits pct",2025-10-11,0.09
2025-11-19,"baltimore","Flu ED visits pct",2025-10-11,0.08
2025-11-19,"harford","Flu ED visits pct",2025-10-11,0
2025-11-19,"massachusetts","Flu ED visits pct",2025-10-11,0.07
2025-11-19,"worcester","Flu ED visits pct",2025-10-11,0.04
2025-11-19,"springfield","Flu ED visits pct",2025-10-11,0.08
2025-11-19,"boston","Flu ED visits pct",2025-10-11,0.05
2025-11-19,"st-cloud","Flu ED visits pct",2025-10-11,0
2025-11-19,"st-paul","Flu ED visits pct",2025-10-11,0.17
2025-11-19,"duluth","Flu ED visits pct",2025-10-11,0.03
2025-11-19,"minneapolis","Flu ED visits pct",2025-10-11,0.07
2025-11-19,"greenville","Flu ED visits pct",2025-10-11,0.05
2025-11-19,"charleston","Flu ED visits pct",2025-10-11,0.2
2025-11-19,"rock-hill","Flu ED visits pct",2025-10-11,0
2025-11-19,"florence","Flu ED visits pct",2025-10-11,0.19
2025-11-19,"columbia","Flu ED visits pct",2025-10-11,0.1
2025-11-19,"horry","Flu ED visits pct",2025-10-11,0.17
2025-11-19,"el-paso","Flu ED visits pct",2025-10-11,0.4
2025-11-19,"dallas","Flu ED visits pct",2025-10-11,0.15
2025-11-19,"houston","Flu ED visits pct",2025-10-11,0.53
2025-11-19,"san-antonio","Flu ED visits pct",2025-10-11,0.14
2025-11-19,"beaumont","Flu ED visits pct",2025-10-11,0.02
2025-11-19,"austin","Flu ED visits pct",2025-10-11,0.21
2025-11-19,"salt-lake-city","Flu ED visits pct",2025-10-11,0.16
2025-11-19,"roanoke","Flu ED visits pct",2025-10-11,0.04
